event_type,event_time,symbol,kline_start_time,kline_close_time,interval,first_trade_id,last_trade_id,open_price,close_price,high_price,low_price,volume,number_of_trades,is_kline_closed,quote_assest_volume,take_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,time_diff_event_time,event_time_seconds
kline,2024-06-28 20:25:00.007,PEPEUSDT,2024-06-28 20:20:00,2024-06-28 20:24:59.999,5m,131572709,131573181,1.177e-05,1.175e-05,1.177e-05,1.174e-05,27503221849.0,473,True,323407.66225892,15234398119.0,179153.09676615,0,0 days 00:00:03.577000,4
kline,2024-06-28 20:30:00.010,PEPEUSDT,2024-06-28 20:25:00,2024-06-28 20:29:59.999,5m,131573182,131573931,1.176e-05,1.173e-05,1.177e-05,1.171e-05,21838560496.0,750,True,256290.7508914,7815104169.0,91742.05270696,0,0 days 00:00:01.863000,2
kline,2024-06-28 20:35:00.007,PEPEUSDT,2024-06-28 20:30:00,2024-06-28 20:34:59.999,5m,131573932,131574740,1.173e-05,1.174e-05,1.179e-05,1.173e-05,29938000768.0,809,True,352184.35394012,16754964871.0,197124.11146537,0,0 days 00:00:00.323000,0
kline,2024-06-28 20:40:00.007,PEPEUSDT,2024-06-28 20:35:00,2024-06-28 20:39:59.999,5m,131574741,131577710,1.174e-05,1.168e-05,1.175e-05,1.167e-05,94241095193.0,2970,True,1103823.36792908,33163343321.0,388384.34410787,0,0 days 00:00:01.748000,2
kline,2024-06-28 20:45:00.010,PEPEUSDT,2024-06-28 20:40:00,2024-06-28 20:44:59.999,5m,131577711,131578050,1.167e-05,1.17e-05,1.171e-05,1.167e-05,25814843249.0,340,True,301960.96591285,15930367901.0,186375.39823686,0,0 days 00:00:07.960000,8
kline,2024-06-28 20:50:00.007,PEPEUSDT,2024-06-28 20:45:00,2024-06-28 20:49:59.999,5m,131578051,131578737,1.171e-05,1.17e-05,1.174e-05,1.17e-05,21644986269.0,687,True,253814.56370811,16419600138.0,192564.51564488,0,0 days 00:00:02.654000,3
kline,2024-06-28 20:55:00.007,PEPEUSDT,2024-06-28 20:50:00,2024-06-28 20:54:59.999,5m,131578738,131581380,1.17e-05,1.166e-05,1.171e-05,1.162e-05,73087572615.0,2643,True,851445.81355002,21054929385.0,245271.15114825,0,0 days 00:00:00.723000,1
kline,2024-06-28 21:00:00.012,PEPEUSDT,2024-06-28 20:55:00,2024-06-28 20:59:59.999,5m,131581381,131581785,1.165e-05,1.166e-05,1.167e-05,1.164e-05,12951771006.0,405,True,150940.98057957,6884915817.0,80251.29356808,0,0 days 00:00:01.905000,2
kline,2024-06-28 21:05:00.007,PEPEUSDT,2024-06-28 21:00:00,2024-06-28 21:04:59.999,5m,131581786,131588177,1.166e-05,1.156e-05,1.166e-05,1.155e-05,145331885196.0,6392,True,1684461.88616952,51045562522.0,591772.11170609,0,0 days 00:00:00.023000,0
kline,2024-06-28 21:10:00.007,PEPEUSDT,2024-06-28 21:05:00,2024-06-28 21:09:59.999,5m,131588178,131598328,1.156e-05,1.139e-05,1.159e-05,1.138e-05,254203752869.0,10151,True,2920822.7184845,78186426986.0,898574.50007841,0,0 days 00:00:01.448000,1
